accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201506F000518,1,9,0,7,2,5,0,0,0,0,4,1,6,1,68,10,1997,1,12,-1,3,-1,3,2,378470,399200,-2.325953,53.489066,6,3,2,3,27/04/2015,2,1899-12-30 10:00:00,107,E08000006,3,576,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000518,2,11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,-1,1,-1,3,2,378470,399200,-2.325953,53.489066,6,3,2,3,27/04/2015,2,1899-12-30 10:00:00,107,E08000006,3,576,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005719,1,2,2,84,11,3,0,0,0,3,0,11,1,5
201506F000518,2,11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,-1,1,-1,3,2,378470,399200,-2.325953,53.489066,6,3,2,3,27/04/2015,2,1899-12-30 10:00:00,107,E08000006,3,576,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005719,2,2,2,44,7,3,0,0,0,4,0,11,1,1
201506F000518,2,11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,-1,1,-1,3,2,378470,399200,-2.325953,53.489066,6,3,2,3,27/04/2015,2,1899-12-30 10:00:00,107,E08000006,3,576,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005719,3,2,2,41,7,3,0,0,0,4,0,11,1,1
201506F000542,1,5,0,17,0,8,2,0,1,4,4,1,6,1,30,6,599,1,15,-1,-1,-1,1,2,372400,400340,-2.417534,53.499028,6,3,2,1,26/04/2015,1,1899-12-30 17:35:00,107,E08000006,6,0,1,30,8,4,6,0,0,0,1,1,1,0,0,2,1,E01005739,1,1,1,30,6,3,0,0,0,0,0,5,-1,-1
201506F000542,2,9,0,2,9,8,0,0,0,0,0,1,6,2,48,8,1796,1,8,-1,-1,-1,1,2,372400,400340,-2.417534,53.499028,6,3,2,1,26/04/2015,1,1899-12-30 17:35:00,107,E08000006,6,0,1,30,8,4,6,0,0,0,1,1,1,0,0,2,1,E01005739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000588,1,9,0,7,0,6,1,0,7,1,1,1,6,1,26,6,1598,1,8,-1,1,-1,2,2,377780,403270,-2.336642,53.525619,6,3,2,2,25/04/2015,7,1899-12-30 00:28:00,107,E08000006,3,666,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01005692,1,1,1,26,6,3,0,0,0,0,0,9,1,2
201506F000588,1,9,0,7,0,6,1,0,7,1,1,1,6,1,26,6,1598,1,8,-1,1,-1,2,2,377780,403270,-2.336642,53.525619,6,3,2,2,25/04/2015,7,1899-12-30 00:28:00,107,E08000006,3,666,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01005692,2,2,1,22,5,3,0,0,1,0,0,9,1,5
201506F000588,2,9,0,7,0,6,0,0,0,0,0,1,1,1,43,7,2993,2,2,-1,-1,-1,2,2,377780,403270,-2.336642,53.525619,6,3,2,2,25/04/2015,7,1899-12-30 00:28:00,107,E08000006,3,666,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01005692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000704,1,9,0,5,0,8,0,0,0,0,1,1,6,1,31,6,1598,1,1,-1,1,-1,2,2,382170,400330,-2.270254,53.499362,6,3,2,2,42040,7,1899-12-30 09:23:00,107,E08000006,3,576,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01005611,2,1,1,31,6,3,0,0,0,0,0,9,1,2
201506F000704,2,19,0,18,0,8,5,0,1,1,3,1,1,1,58,9,2143,2,1,-1,1,-1,2,2,382170,400330,-2.270254,53.499362,6,3,2,2,42040,7,1899-12-30 09:23:00,107,E08000006,3,576,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01005611,1,1,1,58,9,3,0,0,0,0,0,19,1,3
201506F000714,1,9,0,18,0,8,0,0,0,0,1,1,1,1,40,7,1598,1,12,-1,1,-1,1,2,382880,399530,-2.259507,53.492195,6,3,2,1,29/04/2015,4,1899-12-30 06:33:00,107,E08000006,3,5066,6,30,6,2,5,0,0,5,1,1,2,0,0,1,1,E01033330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
